Model,Accuracy,AUC,Recall,Prec.,F1
XGB,0.8319,0.9769,0.8319,0.8363,0.8294
LGBM,0.8298,0.9761,0.8298,0.8342,0.8273
CB,0.8195,0.9724,0.8195,0.822,0.817
GBC,0.7816,0.9543,0.7816,0.7874,0.7758
RF,0.7744,0.9563,0.7744,0.7827,0.7705
ET,0.754,0.9491,0.754,0.7626,0.75
DT,0.7498,0.928,0.7498,0.7472,0.7448
KNN,0.6336,0.8815,0.6336,0.6329,0.6244
LR,0.5759,0.8395,0.5759,0.5868,0.5485
RIDGE,0.5676,0.8358,0.5676,0.5703,0.5407
SVM,0.5702,0.8408,0.5702,0.5775,0.5361
LDA,0.5625,0.8369,0.5625,0.5718,0.5283
NB,0.4502,0.7315,0.4502,0.3784,0.3936
ADA,0.4736,0.7774,0.4736,0.5265,0.3776
QDA,0.3629,0.7928,0.3629,0.4618,0.1987
