Model,Accuracy,AUC,Recall,Prec.,F1
LGBM,0.8264,0.9748,0.8264,0.8321,0.8235
XGB,0.8263,0.9745,0.8263,0.83,0.8234
CB,0.8174,0.971,0.8174,0.8215,0.8141
GBC,0.7776,0.0,0.7776,0.7856,0.771
RF,0.7674,0.952,0.7674,0.7802,0.7615
ET,0.7461,0.9438,0.7461,0.7594,0.7391
DT,0.7039,0.8168,0.7039,0.7044,0.704
KNN,0.6195,0.8497,0.6195,0.6163,0.6151
LR,0.5869,0.0,0.5869,0.5877,0.5713
QDA,0.5291,0.0,0.5291,0.64,0.5469
LDA,0.5597,0.0,0.5597,0.5682,0.5468
ADA,0.5523,0.0,0.5523,0.5728,0.541
SVM,0.5467,0.0,0.5467,0.5292,0.5214
RIDGE,0.5563,0.0,0.5563,0.531,0.5157
NB,0.3615,0.7361,0.3615,0.5269,0.3987
