Model,Accuracy,AUC,Recall,Prec.,F1
LGBM,0.8319,0.9762,0.8319,0.8365,0.829
XGB,0.8309,0.9762,0.8309,0.8343,0.828
CB,0.8241,0.9732,0.8241,0.827,0.8207
GBC,0.7858,0.9613,0.7858,0.7922,0.7791
RF,0.78,0.9558,0.78,0.7914,0.7747
ET,0.76,0.9484,0.76,0.7732,0.7538
DT,0.7167,0.8252,0.7167,0.7186,0.7176
KNN,0.6322,0.8559,0.6322,0.6283,0.6275
LR,0.5862,0.8582,0.5862,0.5866,0.5705
ADA,0.5705,0.7349,0.5705,0.597,0.561
QDA,0.5321,0.8441,0.5321,0.6402,0.5491
LDA,0.5578,0.8363,0.5578,0.567,0.5446
SVM,0.5629,0.0,0.5629,0.5387,0.5439
RIDGE,0.5545,0.0,0.5545,0.5163,0.5142
NB,0.3629,0.7354,0.3629,0.529,0.4008
