iter	Passed	Remaining
0	7	7012
1	12	6196
2	17	5783
3	22	5627
4	27	5488
5	32	5347
6	37	5306
7	42	5254
8	47	5221
9	52	5186
10	57	5168
11	62	5176
12	68	5164
13	73	5142
14	78	5125
15	83	5130
16	88	5115
17	93	5103
18	98	5087
19	103	5066
20	108	5070
21	113	5064
22	118	5049
23	123	5038
24	128	5028
25	134	5020
26	139	5012
27	144	5001
28	149	4993
29	154	4990
30	159	4987
31	164	4984
32	169	4974
33	174	4970
34	180	4966
35	184	4931
36	189	4926
37	194	4917
38	199	4911
39	204	4905
40	209	4903
41	214	4898
42	220	4897
43	225	4896
44	230	4883
45	235	4881
46	240	4877
47	245	4867
48	250	4863
49	255	4856
50	260	4854
51	265	4844
52	270	4837
53	275	4830
54	280	4825
55	286	4821
56	291	4816
57	295	4796
58	300	4791
59	305	4782
60	310	4774
61	315	4767
62	320	4766
63	325	4761
64	330	4757
65	335	4751
66	340	4745
67	345	4738
68	350	4733
69	355	4728
70	360	4722
71	366	4719
72	371	4712
73	376	4706
74	381	4702
75	386	4695
76	391	4690
77	396	4684
78	401	4679
79	405	4667
80	410	4661
81	416	4657
82	420	4651
83	426	4645
84	431	4641
85	436	4637
86	441	4631
87	446	4626
88	451	4620
89	456	4615
90	461	4608
91	466	4603
92	471	4600
93	476	4596
94	481	4591
95	486	4584
96	491	4578
97	496	4572
98	501	4566
99	506	4561
100	511	4555
101	516	4549
102	520	4536
103	525	4530
104	531	4526
105	536	4521
106	541	4516
107	546	4512
108	551	4507
109	556	4501
110	561	4497
111	566	4493
112	571	4488
113	576	4483
114	581	4476
115	586	4470
116	591	4465
117	596	4459
118	601	4455
119	606	4450
120	611	4444
121	616	4439
122	621	4433
123	626	4427
124	631	4423
125	636	4416
126	641	4411
127	646	4406
128	651	4401
129	657	4398
130	662	4392
131	667	4386
132	672	4384
133	677	4378
134	682	4373
135	687	4368
136	692	4364
137	697	4358
138	702	4352
139	707	4346
140	712	4341
141	717	4336
142	722	4332
143	727	4326
144	732	4321
145	737	4316
146	743	4312
147	747	4305
148	753	4301
149	758	4297
150	763	4293
151	768	4287
152	773	4282
153	778	4278
154	783	4272
155	788	4267
156	793	4261
157	798	4255
158	803	4251
159	808	4245
160	813	4241
161	818	4235
162	823	4230
163	828	4224
164	833	4220
165	838	4213
166	843	4208
167	848	4203
168	853	4197
169	858	4191
170	863	4187
171	868	4181
172	873	4176
173	878	4171
174	883	4165
175	888	4160
176	893	4154
177	899	4151
178	904	4146
179	908	4140
180	913	4135
181	919	4130
182	923	4125
183	929	4120
184	934	4115
185	939	4110
186	944	4104
187	949	4101
188	954	4095
189	959	4089
190	964	4084
191	969	4079
192	974	4074
193	979	4069
194	984	4064
195	989	4058
196	994	4053
197	999	4048
198	1004	4043
199	1009	4038
200	1014	4032
201	1019	4027
202	1024	4022
203	1029	4017
204	1034	4011
205	1038	4004
206	1043	3998
207	1049	3994
208	1054	3989
209	1059	3985
210	1064	3980
211	1069	3975
212	1074	3970
213	1079	3966
214	1085	3961
215	1090	3956
216	1095	3951
217	1100	3947
218	1105	3942
219	1110	3936
220	1115	3931
221	1120	3926
222	1125	3921
223	1130	3917
224	1135	3912
225	1140	3907
226	1146	3903
227	1151	3897
228	1156	3894
229	1161	3890
230	1167	3885
231	1172	3880
232	1177	3875
233	1182	3869
234	1187	3864
235	1192	3859
236	1196	3853
237	1201	3847
238	1206	3842
239	1211	3837
240	1216	3832
241	1221	3826
242	1226	3821
243	1232	3817
244	1237	3812
245	1242	3807
246	1247	3801
247	1252	3796
248	1257	3791
249	1262	3786
250	1267	3780
251	1272	3776
252	1277	3771
253	1282	3765
254	1287	3761
255	1292	3756
256	1297	3751
257	1302	3746
258	1307	3739
259	1312	3734
260	1316	3728
261	1321	3723
262	1330	3727
263	1335	3721
264	1339	3716
265	1344	3711
266	1349	3706
267	1354	3700
268	1359	3694
269	1364	3689
270	1369	3683
271	1374	3678
272	1379	3673
273	1384	3668
274	1389	3662
275	1394	3657
276	1399	3653
277	1404	3648
278	1409	3643
279	1414	3637
280	1419	3632
281	1424	3626
282	1429	3622
283	1434	3616
284	1439	3611
285	1444	3605
286	1449	3600
287	1454	3595
288	1459	3589
289	1464	3584
290	1469	3579
291	1474	3574
292	1479	3568
293	1484	3563
294	1488	3558
295	1493	3552
296	1498	3547
297	1503	3541
298	1508	3536
299	1513	3530
300	1518	3525
301	1523	3520
302	1528	3515
303	1533	3510
304	1538	3505
305	1543	3500
306	1548	3494
307	1553	3489
308	1558	3484
309	1563	3479
310	1567	3473
311	1572	3468
312	1577	3462
313	1582	3457
314	1587	3452
315	1592	3447
316	1597	3441
317	1602	3436
318	1607	3431
319	1612	3426
320	1617	3421
321	1622	3415
322	1627	3410
323	1632	3405
324	1637	3400
325	1642	3395
326	1647	3391
327	1652	3386
328	1657	3381
329	1662	3375
330	1667	3370
331	1672	3365
332	1677	3360
333	1682	3354
334	1687	3349
335	1692	3344
336	1697	3339
337	1702	3334
338	1707	3329
339	1712	3324
340	1717	3319
341	1722	3314
342	1727	3309
343	1732	3304
344	1737	3298
345	1742	3293
346	1747	3288
347	1752	3283
348	1757	3278
349	1762	3272
350	1767	3267
351	1772	3263
352	1777	3258
353	1782	3252
354	1787	3247
355	1792	3242
356	1797	3236
357	1802	3231
358	1807	3226
359	1811	3221
360	1816	3215
361	1821	3210
362	1827	3206
363	1831	3200
364	1837	3195
365	1841	3190
366	1846	3185
367	1851	3180
368	1856	3174
369	1861	3170
370	1866	3165
371	1871	3160
372	1876	3155
373	1881	3149
374	1886	3144
375	1891	3139
376	1896	3134
377	1901	3129
378	1906	3124
379	1911	3119
380	1917	3114
381	1922	3109
382	1927	3104
383	1932	3099
384	1937	3094
385	1942	3090
386	1948	3085
387	1952	3080
388	1957	3074
389	1962	3069
390	1967	3065
391	1972	3060
392	1977	3055
393	1983	3050
394	1988	3045
395	1993	3040
396	1998	3034
397	2003	3029
398	2008	3024
399	2012	3018
400	2017	3013
401	2022	3008
402	2027	3003
403	2032	2998
404	2037	2993
405	2042	2988
406	2047	2983
407	2052	2978
408	2057	2973
409	2062	2967
410	2067	2963
411	2072	2958
412	2077	2953
413	2082	2947
414	2087	2942
415	2092	2937
416	2097	2932
417	2102	2927
418	2107	2922
419	2112	2917
420	2117	2912
421	2122	2907
422	2128	2902
423	2133	2897
424	2137	2892
425	2142	2887
426	2147	2881
427	2152	2876
428	2157	2872
429	2162	2866
430	2167	2861
431	2172	2856
432	2177	2851
433	2182	2846
434	2187	2841
435	2192	2836
436	2197	2831
437	2202	2826
438	2207	2821
439	2212	2816
440	2217	2811
441	2222	2806
442	2228	2801
443	2233	2796
444	2238	2791
445	2243	2786
446	2248	2781
447	2253	2776
448	2258	2771
449	2263	2766
450	2268	2760
451	2273	2755
452	2278	2750
453	2283	2746
454	2288	2740
455	2293	2735
456	2298	2730
457	2302	2725
458	2307	2720
459	2312	2714
460	2317	2709
461	2322	2704
462	2327	2699
463	2332	2693
464	2337	2688
465	2341	2683
466	2346	2678
467	2351	2673
468	2356	2667
469	2361	2662
470	2366	2657
471	2371	2652
472	2376	2647
473	2381	2642
474	2386	2637
475	2391	2632
476	2396	2627
477	2400	2621
478	2405	2616
479	2411	2611
480	2415	2606
481	2420	2601
482	2425	2596
483	2430	2591
484	2435	2586
485	2440	2581
486	2445	2576
487	2450	2571
488	2456	2566
489	2460	2561
490	2466	2556
491	2471	2551
492	2475	2546
493	2480	2541
494	2486	2536
495	2490	2531
496	2495	2526
497	2500	2520
498	2506	2516
499	2511	2511
500	2516	2506
501	2521	2501
502	2525	2495
503	2531	2490
504	2536	2485
505	2541	2480
506	2546	2475
507	2551	2470
508	2556	2465
509	2561	2460
510	2566	2455
511	2571	2450
512	2576	2445
513	2581	2440
514	2586	2435
515	2591	2430
516	2596	2425
517	2601	2420
518	2606	2415
519	2611	2410
520	2616	2405
521	2621	2400
522	2626	2395
523	2631	2390
524	2636	2385
525	2641	2380
526	2646	2375
527	2651	2370
528	2656	2365
529	2661	2360
530	2666	2355
531	2671	2350
532	2676	2345
